step,coverage,cum_time,info_gain,overlap,fail,dt
2.300000000000000000e+01,5.543749999996150368e-01,1.027969075958478529e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.095597657889873455e-02
2.400000000000000000e+01,5.543749999996150368e-01,1.067307429817135223e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.933835385865677020e-02
2.500000000000000000e+01,5.543749999996150368e-01,1.117208902684675875e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.990147286754061107e-02
2.600000000000000000e+01,5.543749999996150368e-01,1.168164879263574596e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.095597657889873455e-02
2.700000000000000000e+01,5.775694444440433450e-01,1.218935851510233093e+00,2.697899838449111520e-01,7.302100161550888480e-01,0.000000000000000000e+00,5.077097224665848979e-02
2.800000000000000000e+01,5.775694444440433450e-01,1.269891828089131813e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.095597657889873455e-02
2.900000000000000000e+01,5.775694444440433450e-01,1.303238135505518258e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.334630741638633378e-02
3.000000000000000000e+01,5.775694444440433450e-01,1.342576489364174952e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.933835385865677020e-02
3.100000000000000000e+01,5.775694444440433450e-01,1.393401950643020415e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.082546127884540049e-02
3.200000000000000000e+01,5.775694444440433450e-01,1.426748258059406638e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.334630741638633378e-02
3.300000000000000000e+01,5.775694444440433450e-01,1.477573719338252101e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.082546127884540049e-02
3.400000000000000000e+01,5.775694444440433450e-01,1.528355595508267495e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.078187617001548443e-02
3.500000000000000000e+01,5.775694444440433450e-01,1.560585841282071229e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.223024577380364381e-02
3.600000000000000000e+01,5.775694444440433450e-01,1.609529212600846249e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.894337131877496416e-02
3.700000000000000000e+01,5.775694444440433450e-01,1.649591359985782102e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.006214738493585337e-02
3.800000000000000000e+01,5.775694444440433450e-01,1.682937667402168547e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.334630741638633378e-02
3.900000000000000000e+01,5.775694444440433450e-01,1.733719543572183941e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.078187617001548443e-02
4.000000000000000000e+01,5.775694444440433450e-01,1.765949789345987675e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.223024577380364381e-02
4.100000000000000000e+01,5.775694444440433450e-01,1.805191800811320801e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.924201146533308482e-02
4.200000000000000000e+01,5.775694444440433450e-01,1.837422046585124535e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.223024577380364381e-02
4.300000000000000000e+01,5.775694444440433450e-01,1.887323519452665188e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.990147286754061107e-02
4.400000000000000000e+01,5.775694444440433450e-01,1.919553765226468922e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.223024577380364381e-02
4.500000000000000000e+01,5.775694444440433450e-01,1.970379226505314385e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.082546127884540049e-02
4.600000000000000000e+01,5.775694444440433450e-01,2.021150198751972660e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.077097224665848979e-02
4.700000000000000000e+01,5.775694444440433450e-01,2.071975660030818123e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.082546127884540049e-02
4.800000000000000000e+01,5.775694444440433450e-01,2.112037807415753754e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.006214738493585337e-02
4.900000000000000000e+01,5.775694444440433450e-01,2.162808779662412029e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.077097224665848979e-02
5.000000000000000000e+01,5.775694444440433450e-01,2.211752150981186826e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.894337131877496416e-02
5.100000000000000000e+01,5.775694444440433450e-01,2.251090504839843742e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.933835385865677020e-02
5.200000000000000000e+01,5.775694444440433450e-01,2.300033876158618540e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.894337131877496416e-02
5.300000000000000000e+01,5.775694444440433450e-01,2.350989852737517261e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.095597657889873455e-02
5.400000000000000000e+01,5.775694444440433450e-01,2.390231864202850165e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.924201146533308482e-02
5.500000000000000000e+01,5.775694444440433450e-01,2.440133337070390596e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.990147286754061107e-02
5.600000000000000000e+01,5.775694444440433450e-01,2.479471690929047512e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.933835385865677020e-02
5.700000000000000000e+01,5.775694444440433450e-01,2.519533838313983587e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.006214738493585337e-02
5.800000000000000000e+01,5.775694444440433450e-01,2.551764084087787321e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.223024577380364381e-02
5.900000000000000000e+01,5.775694444440433450e-01,2.591006095553120225e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.924201146533308482e-02
